Price,Quantity,Type,Timestamp
37931000,0.0497,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37927000,0.1629,0,2022.5.22 0:39
37926000,0.03,0,2022.5.22 0:39
37950000,0.0562,1,2022.5.22 0:39
37951000,0.0545,1,2022.5.22 0:39
37952000,0.4114,1,2022.5.22 0:39
37953000,0.1164,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37933000,0.0234,0,2022.5.22 0:39
37931000,0.0497,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37926000,0.0849,0,2022.5.22 0:39
37924000,0.1622,0,2022.5.22 0:39
37950000,0.0413,1,2022.5.22 0:39
37951000,0.0545,1,2022.5.22 0:39
37952000,0.4114,1,2022.5.22 0:39
37953000,0.1383,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37933000,0.0234,0,2022.5.22 0:39
37931000,0.0497,0,2022.5.22 0:39
37929000,0.3979,0,2022.5.22 0:39
37928000,0.1619,0,2022.5.22 0:39
37926000,0.0849,0,2022.5.22 0:39
37950000,0.031,1,2022.5.22 0:39
37951000,0.0545,1,2022.5.22 0:39
37952000,0.4114,1,2022.5.22 0:39
37953000,0.1383,1,2022.5.22 0:39
37954000,0.0504,1,2022.5.22 0:39
37934000,0.0169,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.0708,0,2022.5.22 0:40
37931000,0.0497,0,2022.5.22 0:40
37929000,0.3979,0,2022.5.22 0:40
37950000,0.031,1,2022.5.22 0:40
37951000,0.0545,1,2022.5.22 0:40
37952000,0.4114,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37934000,0.0169,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.0708,0,2022.5.22 0:40
37931000,0.0497,0,2022.5.22 0:40
37929000,0.3979,0,2022.5.22 0:40
37950000,0.0257,1,2022.5.22 0:40
37951000,0.0545,1,2022.5.22 0:40
37952000,0.4114,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37949000,0.0053,0,2022.5.22 0:40
37934000,0.0169,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.0708,0,2022.5.22 0:40
37931000,0.0497,0,2022.5.22 0:40
37950000,0.0257,1,2022.5.22 0:40
37951000,0.0545,1,2022.5.22 0:40
37952000,0.4114,1,2022.5.22 0:40
37953000,0.0531,1,2022.5.22 0:40
37954000,0.0504,1,2022.5.22 0:40
37949000,0.0053,0,2022.5.22 0:40
37940000,0.0491,0,2022.5.22 0:40
37934000,0.0169,0,2022.5.22 0:40
37933000,0.0131,0,2022.5.22 0:40
37932000,0.1822,0,2022.5.22 0:40
37951000,0.0389,1,2022.5.22 0:40
